name,price,description,stock,sku,categories,tags,weight,length,width,height
Metapod,148.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,,2072,"Cocoon,Pokemon","Cocoon,metapod,Shed Skin","21,8",2,2,2
Pidgey,159.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",,9452,"Pokemon,Tiny Bird","Keen Eye,pidgey,Tiny Bird",4,1,1,1
Weedle,25.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,,7525,"Hairy Bug,Pokemon","Hairy Bug,Shield Dust,weedle","7,1",1,1,1
Caterpie,73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",,7492,"Pokemon,Worm","caterpie,Shield Dust,Worm","6,4",1,1,1
Kakuna,148.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",,1049,"Cocoon,Pokemon","Cocoon,kakuna,Shed Skin",22,2,2,2
Beedrill,168.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",,6542,"Poison Bee,Pokemon","beedrill,Poison Bee,Swarm",65,3,3,3
Butterfree,162.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",,9507,"Butterfly,Pokemon","Butterfly,butterfree,Compound Eyes","70,5",3,3,3
Blastoise,76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,,5212,"Pokemon,Shellfish","blastoise,Shellfish,Torrent","188,5",5,5,5
Wartortle,123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",,9659,"Pokemon,Turtle","Torrent,Turtle,wartortle","49,6",3,3,3
Squirtle,130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",,6094,"Pokemon,Tiny Turtle","squirtle,Tiny Turtle,Torrent","19,8",1,1,1
Charizard,156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",,8840,"Flame,Pokemon","Blaze,Charizard,Flame","199,5",5,5,5
Charmander,48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",,9086,"Lizard,Pokemon","Blaze,charmander,Lizard","18,7",2,2,2
Charmeleon,165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",,6565,"Flame,Pokemon","Blaze,charmeleon,Flame","41,9",3,3,3
Venusaur,105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,,7036,"Pokemon,Seed","Overgrow,Seed,venusaur","220,5",6,6,6
Ivysaur,87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",,7227,"Pokemon,Seed","ivysaur,Overgrow,Seed","28,7",3,3,3
Bulbasaur,63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",,4391,"Pokemon,Seed","bulbasaur,Overgrow,Seed","15,2",2,2,2
Nidoking,31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",,1159,"Drill,Pokemon","Drill,nidoking,Poison Point","136,7",4,4,4
Nidorino,179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",,9646,"Poison Pin,Pokemon","nidorino,Poison Pin,Poison Point",43,2,2,2
Nidoqueen,106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,,6614,"Drill,Pokemon","Drill,nidoqueen,Poison Point","132,3",4,4,4
Nidorina,28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",,9779,"Poison Pin,Pokemon","nidorina,Poison Pin,Poison Point","44,1",2,2,2
Sandslash,155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",,4747,"Mouse,Pokemon","Mouse,Sand Veil,sandslash",65,3,3,3
Sandshrew,82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",,9134,"Mouse,Pokemon","Mouse,Sand Veil,sandshrew","26,5",2,2,2
Raichu,140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,,3488,"Mouse,Pokemon","Mouse,raichu,Static","66,1",2,2,2
Pikachu,37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,,1333,"Mouse,Pokemon","Mouse,pikachu,Static","13,2",1,1,1
Arbok,182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",,9230,"Cobra,Pokemon","arbok,Cobra,Shed Skin","143,3",11,11,11
Ekans,55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,,5690,"Pokemon,Snake","ekans,Shed Skin,Snake","15,2",6,6,6
Fearow,95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,,9127,"Beak,Pokemon","Beak,fearow,Keen Eye","83,8",3,3,3
Spearow,133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",,1591,"Pokemon,Tiny Bird","Keen Eye,spearow,Tiny Bird","4,4",1,1,1
Rattata,128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",,1009,"Mouse,Pokemon","Mouse,rattata,Run Away","7,7",1,1,1
Raticate,60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",,5745,"Mouse,Pokemon","Mouse,raticate,Run Away","40,8",2,2,2
Pidgeot,185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",,8462,"Bird,Pokemon","Bird,Keen Eye,pidgeot","87,1",4,4,4
Pidgeotto,84.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",,1150,"Bird,Pokemon","Bird,Keen Eye,pidgeotto","66,1",3,3,3
Venomoth,53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",,3503,"Poison Moth,Pokemon","Poison Moth,Shield Dust,venomoth","27,6",4,4,4
Venonat,158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",,1329,"Insect,Pokemon","Compound Eyes,Insect,venonat","66,1",3,3,3
Parasect,27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",,4612,"Mushroom,Pokemon","Effect Spore,Mushroom,parasect",65,3,3,3
