categories,description,height,length,name,price,sku,stock,tags,weight,width
"cocoon,pokemon",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2,2,Metapod,148.0,2072,285,"cocoon,metapod,shed skin",21.8,2
"cocoon,pokemon","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",2,2,Kakuna,148.0,1049,260,"cocoon,kakuna,shed skin",22.0,2
"poison bee,pokemon","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",3,3,Beedrill,168.0,6542,125,"beedrill,poison bee,swarm",65.0,3
"pokemon,tiny bird","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1,1,Pidgey,159.0,9452,175,"keen eye,pidgey,tiny bird",4.0,1
"pokemon,worm","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",1,1,Caterpie,73.0,7492,40,"caterpie,shield dust,worm",6.4,1
"hairy bug,pokemon",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1,1,Weedle,25.0,7525,65,"hairy bug,shield dust,weedle",7.1,1
"butterfly,pokemon","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",3,3,Butterfree,162.0,9507,242,"butterfly,butterfree,compound eyes",70.5,3
"pokemon,shellfish",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,5,5,Blastoise,76.0,5212,88,"blastoise,shellfish,torrent",188.5,5
"pokemon,turtle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",3,3,Wartortle,123.0,9659,24,"torrent,turtle,wartortle",49.6,3
"pokemon,tiny turtle","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",1,1,Squirtle,130.0,6094,178,"squirtle,tiny turtle,torrent",19.8,1
"flame,pokemon","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",5,5,Charizard,156.0,8840,31,"blaze,charizard,flame",199.5,5
"flame,pokemon","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",3,3,Charmeleon,165.0,6565,284,"blaze,charmeleon,flame",41.9,3
"lizard,pokemon","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",2,2,Charmander,48.0,9086,206,"blaze,charmander,lizard",18.7,2
"pokemon,seed","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",3,3,Ivysaur,87.0,7227,142,"ivysaur,overgrow,seed",28.7,3
"pokemon,seed",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,6,6,Venusaur,105.0,7036,30,"overgrow,seed,venusaur",220.5,6
"pokemon,seed","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",2,2,Bulbasaur,63.0,4391,45,"bulbasaur,overgrow,seed",15.2,2
"cobra,pokemon","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",11,11,Arbok,182.0,9230,248,"arbok,cobra,shed skin",143.3,11
"pokemon,snake",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,6,6,Ekans,55.0,5690,120,"ekans,shed skin,snake",15.2,6
"drill,pokemon","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",4,4,Nidoking,31.0,1159,178,"drill,nidoking,poison point",136.7,4
"poison pin,pokemon","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2,2,Nidorino,179.0,9646,279,"nidorino,poison pin,poison point",43.0,2
"drill,pokemon",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,4,4,Nidoqueen,106.0,6614,153,"drill,nidoqueen,poison point",132.3,4
"poison pin,pokemon","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",2,2,Nidorina,28.0,9779,58,"nidorina,poison pin,poison point",44.1,2
"mouse,pokemon","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",3,3,Sandslash,155.0,4747,236,"mouse,sand veil,sandslash",65.0,3
"mouse,pokemon","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",2,2,Sandshrew,82.0,9134,100,"mouse,sand veil,sandshrew",26.5,2
"mouse,pokemon",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,2,2,Raichu,140.0,3488,215,"mouse,raichu,static",66.1,2
"mouse,pokemon",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,1,1,Pikachu,37.0,1333,254,"mouse,pikachu,static",13.2,1
"beak,pokemon",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,3,3,Fearow,95.0,9127,276,"beak,fearow,keen eye",83.8,3
"pokemon,tiny bird","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1,1,Spearow,133.0,1591,46,"keen eye,spearow,tiny bird",4.4,1
"mouse,pokemon","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2,2,Raticate,60.0,5745,204,"mouse,raticate,run away",40.8,2
"mouse,pokemon","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1,1,Rattata,128.0,1009,16,"mouse,rattata,run away",7.7,1
"bird,pokemon","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",4,4,Pidgeot,185.0,8462,90,"bird,keen eye,pidgeot",87.1,4
"bird,pokemon","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",3,3,Pidgeotto,84.0,1150,120,"bird,keen eye,pidgeotto",66.1,3
"fox,pokemon",Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,3,3,Ninetales,52.0,5173,215,"flash fire,fox,ninetales",43.9,3
"fox,pokemon","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",2,2,Vulpix,85.0,1440,268,"flash fire,fox,vulpix",21.8,2
"fairy,pokemon","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",4,4,Clefable,188.0,9786,23,"clefable,cute charm,fairy",88.2,4
"mole,pokemon","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",,,Diglett,122.0,4383,227,"diglett,mole,sand veil",1.8,
"poison moth,pokemon","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",4,4,Venomoth,53.0,3503,22,"poison moth,shield dust,venomoth",27.6,4
"insect,pokemon","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",3,3,Venonat,158.0,1329,177,"compound eyes,insect,venonat",66.1,3
"mushroom,pokemon","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",3,3,Parasect,27.0,4612,17,"effect spore,mushroom,parasect",65.0,3
"mushroom,pokemon",Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,1,1,Paras,168.0,9691,192,"effect spore,mushroom,paras",11.9,1
"flower,pokemon","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",3,3,Vileplume,170.0,5295,283,"chlorophyll,flower,vileplume",41.0,3
"pokemon,weed","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",2,2,Gloom,178.0,7374,74,"chlorophyll,gloom,weed",19.0,2
"pokemon,weed","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",1,1,Oddish,45.0,8337,296,"chlorophyll,oddish,weed",11.9,1
"bat,pokemon","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",5,5,Golbat,136.0,5941,52,"bat,golbat,inner focus",121.3,5
"bat,pokemon","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",2,2,Zubat,125.0,2584,154,"bat,inner focus,zubat",16.5,2
"balloon,pokemon","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",3,3,Wigglytuff,130.0,2733,260,"balloon,cute charm,wigglytuff",26.5,3
"balloon,pokemon","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",1,1,Jigglypuff,61.0,9180,136,"balloon,cute charm,jigglypuff",12.1,1
"fairy,pokemon","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",2,2,Clefairy,160.0,3259,86,"clefairy,cute charm,fairy",16.5,2
"classy cat,pokemon",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,3,3,Persian,200.0,3752,108,"classy cat,persian,technician",70.5,3
"pokemon,scratch cat","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",1,1,Meowth,131.0,9594,203,"meowth,pickup,scratch cat",9.3,1
"mole,pokemon","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",2,2,Dugtrio,111.0,7897,290,"dugtrio,mole,sand veil",73.4,2
"pokemon,superpower",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,2,2,Machop,166.0,9506,173,"guts,machop,superpower",43.0,2
"pokemon,psi","Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",4,4,Alakazam,40.0,7975,142,"alakazam,inner focus,psi",105.8,4
"pokemon,psi","Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",4,4,Kadabra,129.0,9040,195,"inner focus,kadabra,psi",124.6,4
"pokemon,psi","Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",2,2,Abra,141.0,3845,116,"abra,inner focus,psi",43.0,2
"pokemon,tadpole","Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",4,4,Poliwrath,152.0,1848,216,"damp,poliwrath,tadpole",119.0,4
"pokemon,tadpole","The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",3,3,Poliwhirl,121.0,4447,139,"damp,poliwhirl,tadpole",44.1,3
"pokemon,tadpole","Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",2,2,Poliwag,174.0,6402,217,"damp,poliwag,tadpole",27.3,2
"legendary,pokemon","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",6,6,Arcanine,69.0,9267,14,"arcanine,intimidate,legendary",341.7,6
"pokemon,puppy","Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",2,2,Growlithe,30.0,1749,243,"growlithe,intimidate,puppy",41.9,2
"pig monkey,pokemon","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",3,3,Primeape,86.0,3052,68,"pig monkey,primeape,vital spirit",70.5,3
"pig monkey,pokemon","When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",1,1,Mankey,125.0,5180,209,"mankey,pig monkey,vital spirit",61.7,1
"duck,pokemon","Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",5,5,Golduck,31.0,8764,278,"damp,duck,golduck",168.9,5
"duck,pokemon","If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",2,2,Psyduck,182.0,6470,214,"damp,duck,psyduck",43.2,2
"magnet,pokemon","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",3,3,Magneton,191.0,5934,152,"magnet,magneton,sturdy",132.3,3
"magnet,pokemon",Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,1,1,Magnemite,100.0,1688,16,"magnemite,magnet,sturdy",13.2,1
"hermit crab,pokemon","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",5,5,Slowbro,179.0,3864,289,"hermit crab,oblivious,slowbro",173.1,5
"dopey,pokemon","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",3,3,Slowpoke,109.0,2145,57,"dopey,oblivious,slowpoke",79.4,3
"fire horse,pokemon","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",5,5,Rapidash,98.0,3414,194,"fire horse,rapidash,run away",209.4,5
